City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
353,Lakatoro,VU,78.84,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
354,Kavaratti,IN,81.19,broken clouds,10.5669,72.642,Green leaf
355,Woodstock,CA,76.93,few clouds,43.1334,-80.7497,"Holiday Inn Express & Suites Woodstock South, an IHG Hotel"
359,Touros,BR,79.32,clear sky,-5.1989,-35.4608,INN NEW HORIZON
361,Makakilo City,US,81.45,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
363,Acapetahua,MX,88.12,broken clouds,15.2833,-92.7,Hotel Carmen
365,Cockburn Town,TC,83.88,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
366,Tel Aviv-Yafo,IL,77.18,clear sky,32.0805,34.7805,Ben Yehuda apartments
369,Guerrero Negro,MX,76.26,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
373,Maceio,BR,81.84,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
374,Port Blair,IN,80.19,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
375,Ahuimanu,US,82.62,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
379,Caravelas,BR,77.31,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
381,Pecos,US,82.49,scattered clouds,31.4229,-103.4932,Knights Inn & Suites Pecos Northeast
387,Moron,AR,76.01,broken clouds,-34.6534,-58.6198,Hotel Morón
393,Naples Park,US,87.03,few clouds,26.2617,-81.8093,LaPlaya Beach & Golf Resort
398,Yangjiang,CN,76.12,few clouds,21.85,111.9667,HUALUXE Yangjiang City Center
401,Dzaoudzi,YT,76.89,clear sky,-12.7887,45.2699,Le Rocher
403,Olinda,BR,80.33,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
413,Riachao Do Dantas,BR,80.28,clear sky,-11.0689,-37.725,Fazenda Areias
414,Selma,US,89.64,clear sky,36.5708,-119.6121,"Holiday Inn Selma-Swancourt, an IHG Hotel"
420,Tabas,IR,80.82,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
421,Mitu,CO,83.61,overcast clouds,1.1983,-70.1733,
422,Sola,VU,77.67,broken clouds,-13.8833,167.55,Leumerus Bungalows
426,Gogrial,SS,75.04,light rain,8.5332,28.1004,
428,Fayetteville,US,77.49,clear sky,35.0527,-78.8784,American Eagle Inn
434,Dingle,PH,76.57,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
439,Nargana,PA,83.52,overcast clouds,9.4428,-78.5906,Dubbir
440,Puerto Leguizamo,CO,87.73,overcast clouds,-0.1934,-74.7819,la casona de juancho
441,Lamu,KE,77.22,few clouds,-2.2717,40.902,Lamu House
443,Mundo Nuevo,MX,80.96,few clouds,18.7,-95.5,
446,Tambun,ID,78.69,overcast clouds,-6.2641,107.0712,Metland Hotel Bekasi
448,Ixtapa,MX,87.22,broken clouds,20.7,-105.2,hotel la terminal
450,Houma,US,82.99,broken clouds,29.5958,-90.7195,Courtyard by Marriott Houma
453,Konch,IN,75.9,overcast clouds,25.9833,79.15,AZAAD GARDEN
460,Mabaruma,GY,76.08,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
469,Namatanai,PG,79.47,light rain,-3.6667,152.4333,Seagulls Inn Namatani
473,San Policarpo,PH,80.92,overcast clouds,12.1791,125.5072,Agapita M. Nicart
474,Pacific Grove,US,76.39,scattered clouds,36.6177,-121.9166,Lovers Point Inn
479,Pilar,BR,80.53,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
481,Jacmel,HT,89.44,overcast clouds,18.2342,-72.5347,Historic Hotel Florita
489,Vilhena,BR,86.22,light rain,-12.7406,-60.1458,Hotel Mirage
492,Sechura,PE,77.04,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
493,Abnub,EG,80.82,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
497,Kathu,TH,84.69,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
498,Belmonte,BR,77.61,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
499,Winnemucca,US,75.25,clear sky,40.973,-117.7357,Winners Inn Casino
503,Damietta,EG,78.69,clear sky,31.4165,31.8133,SULIMAN INN
506,Sawakin,SD,88.27,clear sky,19.1059,37.3321,فندق الدويم
507,Jabinyanah,TN,78.6,clear sky,35.035,10.9081,maison belmabrouk
509,Mecca,SA,85.82,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
514,Basco,PH,82.6,few clouds,20.4487,121.9702,Nathaniel's Lodge
518,Vanimo,PG,77.72,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
519,Russell,US,81.68,clear sky,32.3502,-85.1999,Macs
520,Itarema,BR,80.46,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
525,Harper,LR,76.57,overcast clouds,4.375,-7.7169,Screensaver
528,Conde,BR,81.86,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
529,Kendari,ID,75.94,moderate rain,-3.945,122.4989,Hotel Wixel
531,Savannah Bight,HN,77.16,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
532,San Jose,US,88.5,haze,37.3394,-121.895,The Westin San Jose
535,Gondanglegi,ID,75.25,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
539,Woodward,US,79.83,overcast clouds,36.4337,-99.3904,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
541,Thai Binh,VN,77.43,few clouds,20.45,106.3333,Sweden Hotel
542,Kirakira,SB,80.53,overcast clouds,-10.4544,161.9205,SanBiz Lodge
547,Gat,IL,75.88,clear sky,31.61,34.7642,OlusHome
550,Paralimni,CY,76.12,clear sky,35.0375,33.9833,Amore Hotel Apartments
554,Ibra,OM,78.39,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
556,Maningrida,AU,77.32,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
558,Khudumelapye,BW,77.61,clear sky,-23.8833,24.75,
559,Meghraj,IN,83.43,overcast clouds,23.5,73.5,Arvalli Society meghraj
560,Phuket,TH,85.08,few clouds,8.0,98.25,The Surin
566,Laguna,US,89.17,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
571,Avera,US,79.56,clear sky,33.194,-82.5271,
572,Port-Gentil,GA,78.76,scattered clouds,-0.7193,8.7815,Fengshui Residence
573,Manggar,ID,79.79,overcast clouds,-2.8833,108.2667,Guest Hotel
576,Hambantota,LK,78.64,overcast clouds,6.1241,81.1185,Bungalow 63
580,Salgado,BR,79.5,clear sky,-11.0319,-37.475,Casa de Veraneio Maria Bonita
583,Trat,TH,80.87,overcast clouds,12.5,102.5,สวนหนิง-อัศ
594,Buraydah,SA,81.05,clear sky,26.326,43.975,Mövenpick Qassim
596,Enugu,NG,79.99,thunderstorm,6.4402,7.4943,Bestchoice Hotel & Suites Enugu
600,Kloulklubed,PW,75.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
605,Natal,BR,84.42,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
616,Rabak,SD,76.95,light rain,13.1809,32.74,فندق ربك Rabak Hotel
